Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	22.454545454545453	10.68868251396296	-inf	44	0.982	0.02	2.4528967009650336e-05
2000	23.03529411764706	10.787189634358546	-inf	85	0.964	0.02	0.00034692413277096217
3000	23.4	11.233877335986895	24.39	128	0.946	0.02	0.0005814662244584825
4000	23.8	12.808590867070428	24.39	169	0.9279999999999999	0.02	0.0008235365152359009
5000	22.22	11.609978466818962	24.39	219	0.91	0.02	0.0010658790667851766
6000	19.38	8.784964427930259	24.39	271	0.892	0.02	0.0013069654835595025
7000	19.15	8.246665992993774	24.39	323	0.874	0.02	0.0015528091457155016
8000	20.18	9.485125196854284	24.39	370	0.856	0.02	0.0018027836746639676
9000	22.31	12.17267020829859	24.39	410	0.838	0.02	0.002054047915670607
10000	22.55	12.95405341968297	24.39	459	0.82	0.02	0.0023069339328342015
11000	19.68	9.145359478992612	24.39	512	0.802	0.02	0.0025652750995424057
12000	19.02	8.776081129980511	24.39	566	0.784	0.02	0.0028277958763970267
13000	19.52	10.19164363584206	24.39	614	0.766	0.02	0.0030932764874564275
14000	18.42	8.33448258741957	24.39	671	0.748	0.02	0.0033533634742101033
15000	18.66	9.003577066921792	24.39	723	0.73	0.02	0.003630773557557
16000	19.84	10.250580471368439	24.39	773	0.712	0.02	0.0039137942923439875
17000	20.2	10.656453443805777	24.39	822	0.694	0.02	0.004199353522724576
18000	18.39	8.657823052014868	24.39	879	0.6759999999999999	0.02	0.004489183028539022
19000	15.81	6.823041843635432	24.39	947	0.6579999999999999	0.02	0.004785115189022488
20000	14.73	4.876176781044756	24.39	1013	0.6399999999999999	0.02	0.005088385807143317
21000	15.51	5.643571564178131	24.39	1078	0.622	0.02	0.005390325718455845
22000	14.42	4.808700448146047	24.39	1149	0.604	0.02	0.005688039395544264
23000	14.55	4.416729559300637	24.39	1220	0.586	0.02	0.00598144359058804
24000	14.21	4.503987122539318	24.39	1288	0.5680000000000001	0.02	0.006279039184252421
25000	14.75	5.947058096235482	24.39	1354	0.55	0.02	0.006585552824868096
26000	14.64	5.874555302318636	24.39	1427	0.532	0.02	0.006899085177315606
27000	14.08	4.813896550612611	24.39	1496	0.514	0.02	0.007207799288961623
28000	14.24	5.002239498464663	24.39	1568	0.4959999999999999	0.02	0.00751384264893002
29000	13.37	3.809606278869248	24.39	1645	0.478	0.02	0.007817441291279262
30000	13.38	4.505063817528005	24.39	1720	0.45999999999999996	0.02	0.008125947780079312
31000	12.5	3.392639090737475	24.39	1801	0.44199999999999995	0.02	0.008444848391744825
32000	12.69	3.5880217390645783	24.39	1880	0.42399999999999993	0.02	0.008764996065033807
33000	13.24	3.5612357405821933	24.39	1955	0.4059999999999999	0.02	0.00908972508377499
34000	12.29	2.811743231520261	24.39	2037	0.3879999999999999	0.02	0.00941850052939521
35000	11.73	2.781564308082774	24.39	2121	0.37	0.02	0.009743369155459933
