Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	19.134615384615383	7.760919964683623	-inf	52	0.982	0.02	2.6651091045803495e-05
2000	20.0	8.04238770515324	-inf	100	0.964	0.02	0.00035011152426401773
3000	20.31	7.953232047413177	21.04	150	0.946	0.02	0.0005829903152253892
4000	18.99	7.557109235680003	21.04	203	0.9279999999999999	0.02	0.000823886924319797
5000	19.32	9.74461902795589	21.04	251	0.91	0.02	0.001067401435640123
6000	20.27	11.347118576978033	21.04	301	0.892	0.02	0.0013145348760816786
7000	19.81	9.906255599367503	21.04	353	0.874	0.02	0.001568020052380032
8000	20.59	10.360593612337084	21.66	398	0.856	0.02	0.0018170788553025987
9000	20.87	10.719752795657184	21.66	448	0.838	0.02	0.002074728012084961
10000	20.7	9.619251530134765	21.66	495	0.82	0.02	0.0023423548539479575
11000	20.58	9.401255235339587	21.66	546	0.802	0.02	0.002610498203171624
12000	19.55	9.499868420141409	21.66	596	0.784	0.02	0.00287690712345971
13000	19.38	8.584614143920504	21.66	648	0.766	0.02	0.003142847882376777
14000	19.52	8.67004036899483	21.66	698	0.748	0.02	0.0034099627203411525
15000	19.28	7.986338334931722	21.66	750	0.73	0.02	0.0036830035183164807
16000	18.23	6.727339741680956	21.66	806	0.712	0.02	0.00396195027563307
17000	17.69	8.634460029440174	21.66	862	0.694	0.02	0.004241080813937717
18000	16.7	7.942921376924237	21.66	925	0.6759999999999999	0.02	0.0045258143875334
19000	16.72	7.436504555232922	21.66	983	0.6579999999999999	0.02	0.0048107251856062145
20000	16.24	8.571020942688216	21.66	1045	0.6399999999999999	0.02	0.005093978974554274
21000	16.87	8.39005959454401	21.66	1104	0.622	0.02	0.005379975371890598
22000	15.41	6.7336394319862425	21.66	1174	0.604	0.02	0.00567039774523841
23000	15.27	5.749530415607869	21.66	1239	0.586	0.02	0.005965855320294698
24000	13.64	4.255631562999786	21.66	1312	0.5680000000000001	0.02	0.006268047491709392
25000	14.78	5.9119878213677	21.66	1378	0.55	0.02	0.006571706533432007
26000	14.55	5.8691992639541555	21.66	1449	0.532	0.02	0.006874224808481004
27000	13.78	5.491047258947969	21.66	1521	0.514	0.02	0.007181063559320238
