Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	24.6	9.575489543621256	-inf	40	0.982	0.0005	2.1614366107516817e-05
2000	22.670454545454547	8.83911964830349	-inf	88	0.964	0.0005	0.0005052201615439521
3000	22.24	9.251075613138182	23.45	132	0.946	0.0005	0.0009215174118677775
4000	22.29	11.7671534365793	23.45	178	0.9279999999999999	0.0005	0.0013208848900265163
5000	20.68	11.39199719101089	23.45	229	0.91	0.0005	0.0017123759455151028
6000	21.86	11.373671350975462	23.45	270	0.892	0.0005	0.002104510532485114
7000	22.31	12.533710543969011	23.45	316	0.874	0.0005	0.0025054365396499634
8000	22.27	12.99681114735457	23.45	361	0.856	0.0005	0.0028996770249472724
9000	20.52	10.547492593028924	23.45	412	0.838	0.0005	0.0033173875676261056
10000	22.26	12.402112723241954	23.45	451	0.82	0.0005	0.0037206948465771145
11000	23.32	13.181714607743563	23.81	492	0.802	0.0005	0.004123926692538791
12000	24.3	14.128340313002091	25.2	532	0.784	0.0005	0.004517117540041605
13000	22.52	12.000399993333556	25.2	581	0.766	0.0005	0.004911782211727566
14000	22.86	12.164719478886473	25.2	623	0.748	0.0005	0.0053047347731060455
15000	22.44	10.243358824135763	25.2	669	0.73	0.0005	0.005717535085148282
16000	22.32	11.23822049970546	25.2	713	0.712	0.0005	0.006133181386523776
17000	22.37	12.281412785180702	25.2	758	0.694	0.0005	0.0065491286251280045
18000	21.75	11.089071196452839	25.2	804	0.6759999999999999	0.0005	0.006959099637137519
19000	22.03	12.691300169801359	25.2	849	0.6579999999999999	0.0005	0.007358485990100437
20000	21.94	11.947233989505689	25.2	895	0.6399999999999999	0.0005	0.007756465276082356
