Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	21.630434782608695	11.181037316060529	-inf	46	0.982	0.0005	2.4462872081332736e-05
2000	21.88888888888889	12.229694685427166	-inf	90	0.964	0.0005	0.00035565270317925346
3000	23.94	13.032129526673682	24.19	130	0.946	0.0005	0.0005955925914976331
4000	22.78	13.195135467284905	24.19	178	0.9279999999999999	0.0005	0.0008387033806906806
5000	22.78	13.138934507790196	24.19	217	0.91	0.0005	0.0010876058207617866
6000	23.21	11.470217957824515	24.19	262	0.892	0.0005	0.0013334728611840141
7000	21.46	10.363802391014602	24.19	313	0.874	0.0005	0.0015863288773430718
8000	21.29	11.006629820249248	24.19	358	0.856	0.0005	0.0018349203136232165
9000	23.85	13.876148601106863	24.19	392	0.838	0.0005	0.002088899811108907
10000	28.02	17.07862992163013	28.02	424	0.82	0.0005	0.002347934179835849
11000	28.9	15.682793118574253	29.5	460	0.802	0.0005	0.002608362899886237
12000	29.25	15.869703840966913	29.5	493	0.784	0.0005	0.0028696620464324953
13000	33.58	21.847736724887543	33.77	514	0.766	0.0005	0.003137236303753323
14000	36.64	24.92288907811452	36.64	534	0.748	0.0005	0.0034099633163876004
15000	41.7	26.585146228674386	41.89	553	0.73	0.0005	0.0036851453118854098
16000	47.5	28.461728689592977	47.5	570	0.712	0.0005	0.003968554536501566
17000	52.79	31.193363076141697	52.79	587	0.694	0.0005	0.004245905677477519
18000	56.62	34.28754292742482	56.62	601	0.6759999999999999	0.0005	0.00453174438741472
19000	56.66	32.92756292226924	57.22	620	0.6579999999999999	0.0005	0.004825227326816983
20000	59.43	34.98349753812503	60.46	635	0.6399999999999999	0.0005	0.005113003055254618
21000	60.06	38.67733703346186	60.46	653	0.622	0.0005	0.005401922861735026
22000	61.81	39.08700423414411	62.68	667	0.604	0.0005	0.005701684951782226
23000	62.35	40.96861603715703	63.34	682	0.586	0.0005	0.005998518334494697
24000	67.41	44.5309094899262	67.41	693	0.5680000000000001	0.0005	0.006303504308064778
25000	71.04	48.72287347848031	71.04	700	0.55	0.0005	0.006621088253127204
26000	75.23	52.556608528328766	75.66	709	0.532	0.0005	0.006939973102675544
27000	80.13	55.968679634238285	80.44	717	0.514	0.0005	0.007255823810895284
28000	86.98	59.39006314190953	86.98	724	0.4959999999999999	0.0005	0.007576315469212002
29000	91.11	61.87905865476623	91.11	731	0.478	0.0005	0.007902087105645075
30000	97.72	61.94853993436811	97.72	739	0.45999999999999996	0.0005	0.008227247463332282
31000	101.53	62.27109361493502	102.42	747	0.44199999999999995	0.0005	0.008556418087747361
32000	108.91	64.06170384871135	108.91	753	0.42399999999999993	0.0005	0.008891157905260723
33000	114.04	65.55881634074856	114.04	759	0.4059999999999999	0.0005	0.009225246773825751
34000	120.09	67.20224624222021	120.09	764	0.3879999999999999	0.0005	0.009565196633338928
35000	127.51	66.17590120277924	127.51	771	0.37	0.0005	0.00989616122510698
36000	132.96	66.60719480656725	132.96	776	0.352	0.0005	0.010236624081929525
37000	141.1	64.24772369508511	141.1	781	0.33399999999999996	0.0005	0.010577129125595093
38000	144.51	64.17686421133398	144.51	786	0.31599999999999995	0.0005	0.010918766723738777
39000	150.09	62.63051891849531	150.09	792	0.29799999999999993	0.0005	0.011265145076645746
40000	155.13	61.13585772686925	155.13	797	0.2799999999999999	0.0005	0.011607920130093893
41000	158.57	60.37735585465797	158.57	802	0.262	0.0005	0.011956215434604222
42000	159.41	60.152322482178526	160.08	807	0.244	0.0005	0.012310674654112922
43000	166.31	55.59526868358494	166.31	812	0.22599999999999998	0.0005	0.01266778462462955
44000	169.32	53.783246462072185	169.32	817	0.20799999999999996	0.0005	0.013023968007829454
45000	171.5	52.91644356908351	171.5	822	0.18999999999999995	0.0005	0.013381465673446655
46000	173.12	52.81785304231893	173.12	827	0.17199999999999993	0.0005	0.013758346570862664
47000	176.84	49.88841949791556	176.84	832	0.15400000000000003	0.0005	0.014132155643569098
48000	182.67	44.58521167382745	182.67	837	0.136	0.0005	0.014512017965316773
49000	185.44	41.3594777529891	185.44	842	0.118	0.0005	0.014885900285508898
50000	189.94	35.04363565613591	189.94	847	0.1	0.0005	0.015267223450872633
51000	191.47	31.97513252513584	191.47	852	0.0984	0.0005	0.015639952354960972
52000	193.58	28.832336013580314	193.58	857	0.09680000000000001	0.0005	0.01601391123400794
53000	193.58	28.832336013580314	193.58	862	0.0952	0.0005	0.016387918459044564
54000	195.3	24.87629393619555	195.3	867	0.0936	0.0005	0.01678033669789632
55000	196.68	20.963244023766936	196.68	872	0.092	0.0005	0.017170466714435152
56000	196.61	20.963728198963093	196.68	877	0.09040000000000001	0.0005	0.01755568093723721
57000	196.61	20.963728198963093	196.68	882	0.0888	0.0005	0.017947559886508518
58000	197.09	20.480769028530148	197.09	887	0.0872	0.0005	0.018328885237375896
59000	198.91	9.772507354819433	198.91	892	0.08560000000000001	0.0005	0.01871093491713206
60000	198.39	10.617810508763093	198.91	898	0.084	0.0005	0.019093049036131966
61000	198.39	10.617810508763093	198.91	903	0.0824	0.0005	0.019483982854419286
62000	199.37	4.346619376020864	199.37	908	0.08080000000000001	0.0005	0.01987331940068139
63000	199.37	4.346619376020864	199.37	913	0.0792	0.0005	0.020264708466000026
64000	199.37	4.346619376020863	199.37	918	0.0776	0.0005	0.02065504941675398
65000	199.29	4.391571472719077	199.37	923	0.07600000000000001	0.0005	0.021034350064065722
66000	199.29	4.391571472719078	199.37	928	0.07440000000000001	0.0005	0.021414502329296536
67000	198.94	5.560251792859743	199.37	933	0.0728	0.0005	0.021796672807799445
68000	198.71	5.972093435303905	199.37	938	0.07120000000000001	0.0005	0.022178933752907647
69000	198.71	5.972093435303905	199.37	943	0.06960000000000001	0.0005	0.02256105813715193
70000	197.22	9.589139690295475	199.37	949	0.068	0.0005	0.02294396181901296
71000	195.65	15.350814310648147	199.37	955	0.06640000000000001	0.0005	0.02332024614016215
72000	194.82	17.222880130802746	199.37	960	0.0648	0.0005	0.02371479226483239
73000	192.98	21.67578372285533	199.37	966	0.0632	0.0005	0.02410532593727112
74000	191.39	24.619461813776514	199.37	972	0.06160000000000001	0.0005	0.024485700064235262
75000	189.83	27.762944728540592	199.37	978	0.060000000000000005	0.0005	0.02486769689453973
76000	187.67	30.02267642965897	199.37	984	0.0584	0.0005	0.025253258016374375
77000	185.95	31.729914906913947	199.37	990	0.0568	0.0005	0.025638480716281466
78000	171.52	54.65903036095683	199.37	1002	0.0552	0.0005	0.026022771861818103
79000	169.65	55.81762714411998	199.37	1008	0.05360000000000001	0.0005	0.026405401759677462
80000	164.18	58.62378015788473	199.37	1016	0.052000000000000005	0.0005	0.02678643094168769
81000	159.69	59.88099782067764	199.37	1023	0.05040000000000001	0.0005	0.027172923551665413
82000	157.48	59.398902346760586	199.37	1029	0.0488	0.0005	0.027571056286493936
83000	154.31	59.971442370514985	199.37	1036	0.0472	0.0005	0.027970663176642523
84000	145.61	62.154950727999136	199.37	1046	0.0456	0.0005	0.02835759056939019
85000	139.48	60.94562822713373	199.37	1055	0.04400000000000001	0.0005	0.02873593913184272
86000	124.69	64.13418667138455	199.37	1069	0.04240000000000001	0.0005	0.02912940568394131
87000	118.45	61.96214570203327	199.37	1079	0.0408	0.0005	0.029519492851363287
88000	112.86	60.92208466557919	199.37	1088	0.039200000000000006	0.0005	0.02990751200252109
89000	119.19	59.30863259256615	199.37	1094	0.0376	0.0005	0.030295889178911847
90000	124.67	57.56875107208771	199.37	1099	0.036000000000000004	0.0005	0.03068195058239831
91000	126.28	56.968601878578696	199.37	1105	0.034400000000000014	0.0005	0.031070963342984516
92000	127.51	56.172679302308524	199.37	1110	0.03280000000000001	0.0005	0.031461291909217835
93000	129.72	56.35584796629362	199.37	1116	0.031200000000000006	0.0005	0.03185100489192539
94000	132.66	56.694306592461295	199.37	1121	0.0296	0.0005	0.03223644302950965
95000	134.17	57.4374538084689	199.37	1127	0.027999999999999997	0.0005	0.03262320200602214
96000	134.19	57.14712503704801	199.37	1133	0.026400000000000007	0.0005	0.03301021178563436
97000	137.57	56.7891283609812	199.37	1139	0.024800000000000003	0.0005	0.033399962186813355
98000	141.57	55.835518265706106	199.37	1145	0.023200000000000012	0.0005	0.03378849910365211
99000	145.68	56.49033191617836	199.37	1150	0.021600000000000008	0.0005	0.03417529046535492
100000	148.4	55.82329262951085	199.37	1156	0.02	0.0005	0.034570672379599675
