Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	22.522727272727273	10.050980586181712	-inf	44	0.982	0.0005	2.3926761415269638e-05
2000	24.048780487804876	15.524883597241944	-inf	82	0.964	0.0005	0.0003476515081193712
3000	22.95	14.37036881920572	23.49	132	0.946	0.0005	0.0005887578593360053
4000	20.55	9.974342083566214	23.49	179	0.9279999999999999	0.0005	0.0008334034681320191
5000	20.83	11.93738246015432	23.49	228	0.91	0.0005	0.0010777626434961955
6000	20.37	11.208617220692302	23.49	279	0.892	0.0005	0.0013268175390031603
7000	18.33	7.578990697975556	23.49	334	0.874	0.0005	0.0015832128789689806
8000	19.2	8.157205403813244	23.49	385	0.856	0.0005	0.0018425387806362576
9000	21.92	11.610064599303485	23.49	423	0.838	0.0005	0.0021015018224716186
10000	22.59	11.954994772060752	23.49	470	0.82	0.0005	0.0023674340380562676
11000	21.08	12.456869590711785	23.49	518	0.802	0.0005	0.0026393550634384155
12000	20.6	11.878552100319297	23.49	565	0.784	0.0005	0.002911032305823432
13000	21.0	9.830564581955606	23.49	615	0.766	0.0005	0.003180099129676819
14000	20.28	9.218546523178153	23.49	665	0.748	0.0005	0.003443988561630249
15000	20.04	9.782555903239194	23.49	715	0.73	0.0005	0.00371162560251024
16000	17.84	8.812173398203191	23.49	773	0.712	0.0005	0.003983078002929688
17000	18.09	8.925351533693226	23.49	825	0.694	0.0005	0.0042649333344565495
18000	19.95	10.46553868656554	23.49	874	0.6759999999999999	0.0005	0.004545423520935906
19000	17.93	9.06780568825777	23.49	935	0.6579999999999999	0.0005	0.004828923278384739
20000	15.62	6.333687709383847	23.49	1000	0.6399999999999999	0.0005	0.0051200764709048805
21000	16.09	5.774244539331531	23.49	1060	0.622	0.0005	0.005408128499984741
22000	15.47	5.408243707526502	23.49	1126	0.604	0.0005	0.005703515609105428
23000	15.53	6.495313695272922	23.49	1190	0.586	0.0005	0.0059963121679094105
24000	14.18	4.706123670283219	23.49	1259	0.5680000000000001	0.0005	0.006305070320765178
25000	15.38	5.782352462449864	23.49	1322	0.55	0.0005	0.006615632308853997
26000	14.22	4.323378308684078	23.49	1396	0.532	0.0005	0.0069169897503323025
27000	13.52	4.114559514698992	23.49	1470	0.514	0.0005	0.007222952180438572
28000	13.39	3.778610855856951	23.49	1546	0.4959999999999999	0.0005	0.007532901167869568
29000	13.5	4.15571895103603	23.49	1621	0.478	0.0005	0.007852048542764452
30000	13.37	4.0463687424652734	23.49	1696	0.45999999999999996	0.0005	0.008181622094578213
31000	13.19	5.230095601420685	23.49	1773	0.44199999999999995	0.0005	0.008511911365720961
32000	12.9	3.6945906403822333	23.49	1850	0.42399999999999993	0.0005	0.008849284317758348
33000	12.31	2.9923068024519144	23.49	1931	0.4059999999999999	0.0005	0.009192557003762987
34000	12.92	3.656993300513415	23.49	2007	0.3879999999999999	0.0005	0.009524187048276265
35000	11.73	2.505414137423193	23.49	2092	0.37	0.0005	0.009853899743821885
36000	11.99	3.4190495755399626	23.49	2174	0.352	0.0005	0.010189138584666782
37000	12.15	3.024483426967323	23.49	2256	0.33399999999999996	0.0005	0.010519771642155118
38000	12.38	2.845276787941729	23.49	2337	0.31599999999999995	0.0005	0.010853097769949171
39000	11.21	2.4136901209558776	23.49	2426	0.29799999999999993	0.0005	0.011195553474956089
40000	11.21	2.52703383435996	23.49	2515	0.2799999999999999	0.0005	0.011542038917541504
41000	11.14	2.4331872102244825	23.49	2605	0.262	0.0005	0.011893429027663337
42000	10.73	1.7824421449236438	23.49	2699	0.244	0.0005	0.012273278832435609
43000	10.48	1.6460862674841799	23.49	2794	0.22599999999999998	0.0005	0.012721323635843065
44000	10.44	1.512084653714864	23.49	2890	0.20799999999999996	0.0005	0.013107428815629747
45000	10.85	1.8834808201837365	23.49	2982	0.18999999999999995	0.0005	0.013475647436247932
46000	10.43	1.4508962747212495	23.49	3077	0.17199999999999993	0.0005	0.013852926558918423
47000	10.28	1.5561490931141526	23.49	3174	0.15400000000000003	0.0005	0.014223952227168614
48000	10.11	1.3556917053666737	23.49	3273	0.136	0.0005	0.014595321085717943
49000	9.79	1.3061010680647955	23.49	3375	0.118	0.0005	0.014964561727311877
50000	9.97	1.1615076409563565	23.49	3476	0.1	0.0005	0.015335256059964497
51000	9.86	1.2001666550941998	23.49	3577	0.0984	0.0005	0.015710507829984028
52000	9.63	0.9659710140578753	23.49	3680	0.09680000000000001	0.0005	0.016108007497257656
53000	9.93	1.1247666424641158	23.49	3781	0.0952	0.0005	0.01650276548332638
54000	9.98	1.2726350615946427	23.49	3881	0.0936	0.0005	0.016876677407158747
55000	9.97	1.1786008654332476	23.49	3981	0.092	0.0005	0.01725043753782908
56000	9.84	1.3320660644277371	23.49	4083	0.09040000000000001	0.0005	0.017626268267631532
57000	9.91	1.1410083259994206	23.49	4184	0.0888	0.0005	0.018004126681221855
58000	9.76	1.16721891691319	23.49	4286	0.0872	0.0005	0.01839305069711473
59000	9.92	1.3317657451669191	23.49	4387	0.08560000000000001	0.0005	0.018774614135424295
60000	9.68	1.0283968105745953	23.49	4490	0.084	0.0005	0.01916054083241357
61000	9.82	1.2196720870791458	23.49	4592	0.0824	0.0005	0.019558158185746934
62000	9.57	0.8746999485537883	23.49	4696	0.08080000000000001	0.0005	0.019950891468260023
63000	9.8	1.1832159566199232	23.49	4798	0.0792	0.0005	0.020328752398490905
64000	9.67	0.970103087305674	23.49	4901	0.0776	0.0005	0.020700807703865898
65000	9.76	1.1757550765359255	23.49	5004	0.07600000000000001	0.0005	0.02109468897183736
66000	9.82	0.9631199302267603	23.49	5106	0.07440000000000001	0.0005	0.02148472077316708
67000	9.61	1.0187737727287645	23.49	5210	0.0728	0.0005	0.021865945723321702
68000	9.86	1.2330450113438682	23.49	5311	0.07120000000000001	0.0005	0.022260307669639587
69000	9.9	1.1958260743101397	23.49	5413	0.06960000000000001	0.0005	0.02264788442187839
70000	9.86	1.122675376054895	23.49	5514	0.068	0.0005	0.023038977119657727
71000	9.58	1.2820296408429877	23.49	5618	0.06640000000000001	0.0005	0.023426650100284153
72000	9.77	1.1819898476721362	23.49	5720	0.0648	0.0005	0.0238018493519889
73000	9.61	1.0187737727287647	23.49	5824	0.0632	0.0005	0.0241832388109631
74000	9.81	1.163572086292895	23.49	5927	0.06160000000000001	0.0005	0.024564325875706144
75000	9.7	1.0908712114635715	23.49	6029	0.060000000000000005	0.0005	0.024957884351412454
76000	9.64	1.063202708800161	23.49	6133	0.0584	0.0005	0.0253439779414071
77000	9.67	0.9597395480024776	23.49	6236	0.0568	0.0005	0.025725753837161594
78000	9.59	0.9496841580230766	23.49	6340	0.0552	0.0005	0.026127067671881783
79000	9.57	1.0700934538627922	23.49	6445	0.05360000000000001	0.0005	0.026517642074161105
80000	9.67	1.0203430795570674	23.49	6548	0.052000000000000005	0.0005	0.026896370516883
81000	9.58	0.9505787710652915	23.49	6652	0.05040000000000001	0.0005	0.02728600396050347
82000	9.55	0.7399324293474371	23.49	6757	0.0488	0.0005	0.02768542554643419
83000	9.67	1.0775435026020992	23.49	6861	0.0472	0.0005	0.02808791690402561
84000	9.51	0.8999444427296609	23.49	6965	0.0456	0.0005	0.028485148217942978
85000	9.75	1.1346805717910218	23.49	7068	0.04400000000000001	0.0005	0.02887176904413435
86000	9.53	0.8056674251823763	23.49	7173	0.04240000000000001	0.0005	0.029252917567888895
87000	9.63	0.9659710140578753	23.49	7276	0.0408	0.0005	0.029636692802111307
88000	9.64	1.005186549850325	23.49	7380	0.039200000000000006	0.0005	0.030022092130449082
89000	9.61	1.1479982578383991	23.49	7484	0.0376	0.0005	0.030402945942348904
90000	9.57	0.8860586888011426	23.49	7588	0.036000000000000004	0.0005	0.030794190565745037
91000	9.68	0.926066952223218	23.49	7691	0.034400000000000014	0.0005	0.031201432479752433
92000	9.43	0.9301075206662937	23.49	7797	0.03280000000000001	0.0005	0.0316033548116684
93000	9.49	0.9326842981416594	23.49	7903	0.031200000000000006	0.0005	0.03199505163563622
94000	9.49	0.9538867857350787	23.49	8009	0.0296	0.0005	0.03239830798572964
95000	9.5	0.8185352771872451	23.49	8114	0.027999999999999997	0.0005	0.03281357606252035
96000	9.42	0.885211839053229	23.49	8220	0.026400000000000007	0.0005	0.033207866152127584
97000	9.38	0.7586830695356263	23.49	8327	0.024800000000000003	0.0005	0.03360378318362766
98000	9.51	0.7415524256584964	23.49	8432	0.023200000000000012	0.0005	0.03400271157423655
99000	9.29	0.8751571287488893	23.49	8539	0.021600000000000008	0.0005	0.03438689251740774
100000	9.35	0.7921489758877429	23.49	8646	0.02	0.0005	0.0347709357076221
