Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	20.26530612244898	8.088226541075517	-inf	49	0.982	0.0005	2.2464593251546223e-05
2000	23.11764705882353	11.447488051924838	-inf	85	0.964	0.0005	0.0005089267094930013
3000	24.12	12.0360126287737	24.21	128	0.946	0.0005	0.0009256659613715277
4000	22.05	11.227978446719606	24.75	178	0.9279999999999999	0.0005	0.0013248391283882989
5000	23.03	12.60591527815414	24.75	215	0.91	0.0005	0.001740770075056288
6000	22.95	13.163111334331257	24.75	262	0.892	0.0005	0.0021482214000489975
7000	23.04	14.29329912931231	24.75	303	0.874	0.0005	0.0025646766026814777
8000	24.01	13.551748964617076	24.75	344	0.856	0.0005	0.0029673969083362155
9000	23.4	12.475576139000555	24.75	395	0.838	0.0005	0.003362959822018941
10000	20.79	10.627600858142914	24.75	441	0.82	0.0005	0.003758549027972751
11000	21.44	10.676441354683686	24.75	487	0.802	0.0005	0.0041636201408174305
12000	22.87	12.156195951036656	24.75	528	0.784	0.0005	0.004572971993022494
13000	23.79	13.269736244552867	24.75	571	0.766	0.0005	0.0049655385812123615
14000	21.15	10.682111214549304	24.75	623	0.748	0.0005	0.00536354468928443
15000	20.95	10.483677789783508	24.75	667	0.73	0.0005	0.005764839251836141
16000	20.42	11.268700013754913	24.75	721	0.712	0.0005	0.006156779660118951
17000	20.64	11.92771562370599	24.75	764	0.694	0.0005	0.006549198163880242
18000	21.04	11.254261415126273	24.75	815	0.6759999999999999	0.0005	0.006944134698973762
19000	19.72	7.396053001432588	24.75	866	0.6579999999999999	0.0005	0.007334637112087674
20000	22.35	10.243412517320582	24.75	904	0.6399999999999999	0.0005	0.0077256682184007434
21000	23.81	12.594201046513431	24.75	948	0.622	0.0005	0.00812026368247138
22000	23.03	12.623355338419337	24.75	995	0.604	0.0005	0.008520384232203165
23000	20.9	10.188719252192593	24.75	1043	0.586	0.0005	0.008922286166085137
24000	20.36	10.373543271226087	24.75	1094	0.5680000000000001	0.0005	0.009315319723553128
25000	20.32	10.030832467946018	24.75	1142	0.55	0.0005	0.009709730876816643
26000	21.82	11.577892727089848	24.75	1183	0.532	0.0005	0.01011250078678131
27000	21.25	11.393309440193399	24.75	1236	0.514	0.0005	0.010508380002445646
28000	20.38	9.507660069649104	24.75	1281	0.4959999999999999	0.0005	0.01089953468905555
29000	22.28	11.115826554962073	24.75	1324	0.478	0.0005	0.01129522939523061
30000	21.6	10.376897416858279	24.75	1374	0.45999999999999996	0.0005	0.011690144273969862
31000	20.47	8.574911078256147	24.75	1420	0.44199999999999995	0.0005	0.012080215281910367
32000	21.11	10.488941796005923	24.75	1467	0.42399999999999993	0.0005	0.012475831442409092
33000	19.84	10.226162525600694	24.75	1521	0.4059999999999999	0.0005	0.012867581645647684
34000	15.92	5.813226298708833	24.75	1586	0.3879999999999999	0.0005	0.013284220894177756
35000	16.38	6.347881536386766	24.75	1643	0.37	0.0005	0.013690207600593567
36000	16.84	8.599674412441438	24.75	1706	0.352	0.0005	0.014086923268106248
37000	14.26	5.317179703564663	24.75	1776	0.33399999999999996	0.0005	0.014480477836396959
38000	14.09	4.962045949001279	24.75	1845	0.31599999999999995	0.0005	0.014879005352656046
39000	15.07	5.659072362145584	24.75	1911	0.29799999999999993	0.0005	0.01527323199643029
40000	14.33	5.114792273396838	24.75	1984	0.2799999999999999	0.0005	0.015669545531272887
41000	13.14	3.588927416373867	24.75	2061	0.262	0.0005	0.016067909995714825
42000	12.61	3.1840069095402415	24.75	2142	0.244	0.0005	0.01645858797762129
43000	12.05	3.1603006186120965	24.75	2225	0.22599999999999998	0.0005	0.01685631553332011
44000	12.02	3.5354773369376873	24.75	2307	0.20799999999999996	0.0005	0.01726485616630978
45000	11.76	2.530296425322535	24.75	2393	0.18999999999999995	0.0005	0.017671827144092985
46000	11.72	2.2807016464237493	24.75	2478	0.17199999999999993	0.0005	0.018071853253576492
47000	11.78	2.321981912074252	24.75	2565	0.15400000000000003	0.0005	0.01847153213289049
48000	10.84	1.9272778730634563	24.75	2657	0.136	0.0005	0.018874376548661125
49000	10.94	2.440573703046069	24.75	2749	0.118	0.0005	0.01928520917892456
50000	10.68	1.7485994395515516	24.75	2843	0.1	0.0005	0.01968489666779836
51000	10.6	1.82208671582886	24.75	2937	0.0984	0.0005	0.02008101052708096
52000	10.17	1.6127926091100493	24.75	3035	0.09680000000000001	0.0005	0.020477913353178237
53000	10.56	2.342306555513176	24.75	3130	0.0952	0.0005	0.020892054306136238
54000	10.21	1.4716996976285617	24.75	3228	0.0936	0.0005	0.02131046540207333
55000	10.42	1.6922174801130025	24.75	3324	0.092	0.0005	0.021723617182837593
56000	10.33	1.7666635220097797	24.75	3420	0.09040000000000001	0.0005	0.022140412794219123
57000	10.15	1.6332482971061075	24.75	3519	0.0888	0.0005	0.02254209405846066
58000	10.06	1.3328165665236908	24.75	3618	0.0872	0.0005	0.02294323205947876
59000	10.15	1.1694015563526499	24.75	3717	0.08560000000000001	0.0005	0.023345972498257955
60000	10.27	1.5802215034608282	24.75	3814	0.084	0.0005	0.023742486304706996
61000	10.1	1.4177446878757827	24.75	3912	0.0824	0.0005	0.024157063828574285
62000	9.98	1.4420818284688286	24.75	4013	0.08080000000000001	0.0005	0.024573923018243578
63000	9.96	1.1394735626595291	24.75	4113	0.0792	0.0005	0.024990390141805013
64000	10.14	1.4284257068535275	24.75	4212	0.0776	0.0005	0.025407619873682657
65000	9.85	1.3883443376914821	24.75	4313	0.07600000000000001	0.0005	0.02582464423444536
66000	9.92	1.1106754701531856	24.75	4413	0.07440000000000001	0.0005	0.026240778499179416
67000	9.87	1.1632282665066216	24.75	4514	0.0728	0.0005	0.026654360559251574
68000	9.93	1.1937755232873555	24.75	4615	0.07120000000000001	0.0005	0.02704890939924452
69000	9.95	1.444818327679989	24.75	4716	0.06960000000000001	0.0005	0.027458803455034892
70000	10.1	1.6031219541881396	24.75	4815	0.068	0.0005	0.02786185767915514
71000	9.98	1.4211263138792412	24.75	4915	0.06640000000000001	0.0005	0.028260958327187433
72000	9.85	1.291317157014496	24.75	5016	0.0648	0.0005	0.028665058414141336
73000	9.89	1.0667239567948215	24.75	5117	0.0632	0.0005	0.029067873888545565
74000	9.96	1.392264342716569	24.75	5218	0.06160000000000001	0.0005	0.029466620286305745
75000	9.67	1.2251938622112013	24.75	5321	0.060000000000000005	0.0005	0.029859380920728047
76000	9.73	1.037834283496166	24.75	5423	0.0584	0.0005	0.030251579880714415
77000	10.03	1.284172885557081	24.75	5523	0.0568	0.0005	0.030644400186008877
78000	9.73	1.1819898476721362	24.75	5626	0.0552	0.0005	0.031037925680478414
79000	9.6	1.0488088481701514	24.75	5730	0.05360000000000001	0.0005	0.03143662452697754
80000	9.9	1.2688577540449522	24.75	5831	0.052000000000000005	0.0005	0.0318430804544025
81000	9.63	1.055035544424926	24.75	5935	0.05040000000000001	0.0005	0.03224564327134027
82000	10.04	1.2240914998479484	24.75	6034	0.0488	0.0005	0.032653742366366915
83000	9.95	1.0331989159885913	24.75	6135	0.0472	0.0005	0.03310622658994463
84000	9.77	1.1389029809426263	24.75	6238	0.0456	0.0005	0.033550269073910184
85000	9.79	1.251359260963853	24.75	6340	0.04400000000000001	0.0005	0.033956952293713885
86000	9.72	1.0107423014794623	24.75	6443	0.04240000000000001	0.0005	0.034355904393725926
87000	9.67	1.0775435026020992	24.75	6546	0.0408	0.0005	0.03475516160329183
88000	9.93	1.2669254121691613	24.75	6647	0.039200000000000006	0.0005	0.035149356855286494
89000	9.55	0.9420721840708386	24.75	6751	0.0376	0.0005	0.035543315543068776
90000	9.53	1.144159079848602	24.75	6856	0.036000000000000004	0.0005	0.03593940834204356
91000	9.78	1.2375782803523985	24.75	6959	0.034400000000000014	0.0005	0.03635370572408041
92000	9.68	1.0380751417888783	24.75	7062	0.03280000000000001	0.0005	0.03675493684079912
93000	9.69	0.9766780431646859	24.75	7165	0.031200000000000006	0.0005	0.037147495415475636
94000	9.67	1.1920989891783316	24.75	7269	0.0296	0.0005	0.037542663282818266
95000	9.67	0.9386692708297211	24.75	7372	0.027999999999999997	0.0005	0.03794623361693488
96000	9.72	1.1052601503718478	24.75	7475	0.026400000000000007	0.0005	0.03835637708504995
97000	9.56	1.0423051376636308	24.75	7580	0.024800000000000003	0.0005	0.03875409503777822
98000	9.56	0.92	24.75	7684	0.023200000000000012	0.0005	0.03914769861433241
99000	9.52	0.9325234581499813	24.75	7788	0.021600000000000008	0.0005	0.039544676476054724
100000	9.32	0.8930845424706443	24.75	7895	0.02	0.0005	0.03994527068403032
