Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	20.6875	11.13582104816105	-inf	48	0.982	0.02	2.4126039610968696e-05
2000	21.0752688172043	11.632579905176579	-inf	93	0.964	0.02	0.00034733388159010145
3000	21.92	10.38333279828784	22.41	139	0.946	0.02	0.0005849107768800524
4000	21.43	11.520638003166319	23.26	183	0.9279999999999999	0.02	0.0008250291479958428
5000	22.9	14.304894267347802	23.26	226	0.91	0.02	0.001063965294096205
6000	22.35	13.139539565753438	23.26	273	0.892	0.02	0.0013135526577631633
7000	21.35	12.669155457251286	23.26	320	0.874	0.02	0.0015659424331453111
8000	22.45	15.134976048874341	23.26	362	0.856	0.02	0.001813998156123691
9000	22.83	13.310939110370837	23.26	405	0.838	0.02	0.0020743705828984577
10000	20.67	9.622946534196268	23.26	459	0.82	0.02	0.0023395822445551554
11000	19.13	9.141832420253612	23.26	511	0.802	0.02	0.002594001094500224
12000	18.76	7.856360480527864	23.26	563	0.784	0.02	0.0028496454159418743
13000	20.07	8.465524201134858	23.26	611	0.766	0.02	0.0031140024794472586
14000	19.25	8.990411558988832	23.26	666	0.748	0.02	0.003388279014163547
15000	18.24	8.439336466808276	23.26	721	0.73	0.02	0.003663018544514974
16000	17.97	7.44507219575472	23.26	778	0.712	0.02	0.003941708140903049
17000	18.45	9.419527589003602	23.26	831	0.694	0.02	0.004223351081212362
