Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-20.5	0.7833494518006403	-inf	22	0.991	0.0001	0.009570147527588738
20000	-20.41860465116279	0.841719119574598	-inf	43	0.982	0.0001	0.01824781424469418
30000	-20.384615384615383	0.8355984993230935	-inf	65	0.973	0.0001	0.026795598069826763
40000	-20.413793103448278	0.7958473274994832	-inf	87	0.964	0.0001	0.03501070320606232
50000	-20.4	0.812403840463596	-20.4	109	0.955	0.0001	0.04324415226777394
60000	-20.41	0.7361385739111898	-20.39	131	0.946	0.0001	0.06919918576876323
70000	-20.32	0.8231646250902671	-20.31	152	0.9369999999999999	0.0001	0.09398328489727444
80000	-20.3	0.8306623862918074	-20.29	173	0.9279999999999999	0.0001	0.11885757989353604
90000	-20.3	0.8426149773176358	-20.27	194	0.919	0.0001	0.14371502545144824
100000	-20.21	0.8519976525789258	-20.19	216	0.91	0.0001	0.16879673494233025
