Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	24.048780487804876	13.266409478981473	-inf	41	0.982	0.0005	3.8650830586751305e-05
2000	22.93103448275862	11.830987078502135	-inf	87	0.964	0.0005	0.0005521519978841146
3000	21.36	9.93229077302915	22.64	135	0.946	0.0005	0.0009765998522440593
4000	23.74	13.576170299462216	23.74	170	0.9279999999999999	0.0005	0.0014053335454728868
5000	24.09	14.464504830791823	24.88	217	0.91	0.0005	0.0018504168589909872
6000	23.49	13.423483154531835	24.88	261	0.892	0.0005	0.002302392191357083
7000	22.05	11.246666172693134	24.88	304	0.874	0.0005	0.002721830937597487
8000	22.75	11.201227611293326	24.88	349	0.856	0.0005	0.003135397301779853
9000	23.5	12.727529218194709	24.88	388	0.838	0.0005	0.0035618903901841904
10000	24.86	14.195788107745198	25.5	427	0.82	0.0005	0.003982046180301242
11000	24.79	14.324311501779064	25.6	470	0.802	0.0005	0.00440087530348036
12000	22.89	14.197108860609616	25.6	516	0.784	0.0005	0.004817452496952481
13000	20.65	12.145266567679773	25.6	567	0.766	0.0005	0.005235363576147291
14000	21.73	11.55495997396789	25.6	609	0.748	0.0005	0.0056625011894438
15000	23.56	12.248526441984767	25.6	649	0.73	0.0005	0.006083208786116706
16000	23.01	11.757121246291542	25.6	696	0.712	0.0005	0.0064947187238269385
17000	21.63	11.292169853486973	25.6	742	0.694	0.0005	0.006907525724834866
18000	21.03	10.830932554494096	25.6	790	0.6759999999999999	0.0005	0.007336582541465759
19000	22.15	12.702263577803759	25.6	834	0.6579999999999999	0.0005	0.007759261131286621
20000	21.86	11.749059536831021	25.6	884	0.6399999999999999	0.0005	0.00819140997197893
21000	22.31	10.663671975450107	25.6	925	0.622	0.0005	0.008612213730812073
22000	21.5	9.371766108903913	25.6	975	0.604	0.0005	0.00903238852818807
23000	19.98	8.778359755671898	25.6	1024	0.586	0.0005	0.009454129801856146
24000	21.78	11.29475984693787	25.6	1066	0.5680000000000001	0.0005	0.009880772829055785
25000	23.33	13.577227257433677	25.6	1106	0.55	0.0005	0.010306913587782117
26000	24.67	14.06204465929475	25.6	1149	0.532	0.0005	0.010729198257128397
27000	21.81	10.436182252145656	25.6	1199	0.514	0.0005	0.011145748164918687
28000	20.03	8.730927785751065	25.6	1248	0.4959999999999999	0.0005	0.011563010878033108
