Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	22.044444444444444	9.988783833337061	-inf	45	0.982	0.0005	2.2207763459947374e-05
2000	22.247191011235955	10.422836745217076	-inf	89	0.964	0.0005	0.000532252656088935
3000	22.02	10.27422016505389	22.55	133	0.946	0.0005	0.0009495059649149577
4000	23.02	10.419193826779498	23.17	176	0.9279999999999999	0.0005	0.0013662858141793145
5000	23.88	10.991160084358702	24.0	217	0.91	0.0005	0.0017841077513164943
6000	21.18	9.94221303332412	24.0	270	0.892	0.0005	0.0021922447946336535
7000	20.34	9.768541344540647	24.0	315	0.874	0.0005	0.0025910141070683798
8000	21.91	11.693669227406769	24.0	360	0.856	0.0005	0.002986601723564996
9000	22.58	11.726192903069608	24.0	403	0.838	0.0005	0.003385494417614407
10000	21.87	10.84864507669045	24.0	450	0.82	0.0005	0.0037836921215057373
11000	22.64	12.238071743538685	24.0	491	0.802	0.0005	0.004178865287039015
12000	22.55	11.743402403051682	24.0	539	0.784	0.0005	0.004576267202695211
13000	20.94	10.922289137355776	24.0	588	0.766	0.0005	0.004987957212660048
14000	22.23	10.867248961903837	24.0	631	0.748	0.0005	0.005403901735941569
15000	22.61	12.952910869762055	24.0	676	0.73	0.0005	0.005818086332745023
16000	21.65	14.038785560011947	24.0	721	0.712	0.0005	0.006220398147900899
17000	21.62	12.624404936471263	24.0	768	0.694	0.0005	0.006634851098060608
18000	22.72	14.380598040415425	24.0	811	0.6759999999999999	0.0005	0.007035629947980245
19000	21.95	13.197253502149605	24.0	858	0.6579999999999999	0.0005	0.007447078757815891
20000	20.72	9.8062021190673	24.0	905	0.6399999999999999	0.0005	0.007856314579645793
21000	23.88	12.515014982012605	24.0	941	0.622	0.0005	0.00825448128912184
22000	25.6	15.425303886795877	26.18	978	0.604	0.0005	0.008651473853323195
23000	23.82	13.76109007310104	26.18	1025	0.586	0.0005	0.009053352210256788
24000	21.75	10.646478290965515	26.18	1069	0.5680000000000001	0.0005	0.009452898303667705
25000	22.89	12.325497961542975	26.18	1113	0.55	0.0005	0.00986380073759291
26000	21.86	11.55769873287931	26.18	1162	0.532	0.0005	0.01028075204955207
27000	22.16	11.835303122438393	26.18	1204	0.514	0.0005	0.010695290366808573
28000	23.52	14.292291628706714	26.18	1244	0.4959999999999999	0.0005	0.011099062429534064
29000	23.0	13.331916591398253	26.18	1292	0.478	0.0005	0.011505399677488539
30000	20.68	8.810085130122182	26.18	1340	0.45999999999999996	0.0005	0.011905306180318197
31000	21.87	10.8817783473107	26.18	1383	0.44199999999999995	0.0005	0.012303253213564555
32000	21.93	11.09166804407705	26.18	1433	0.42399999999999993	0.0005	0.012699976298544143
33000	22.24	11.391330036479497	26.18	1476	0.4059999999999999	0.0005	0.013097569545110066
34000	21.27	10.42674925372237	26.18	1527	0.3879999999999999	0.0005	0.013495735194947985
35000	18.29	7.953986421914486	26.18	1583	0.37	0.0005	0.013892668816778395
36000	18.56	8.62243585073267	26.18	1634	0.352	0.0005	0.014290286766158209
37000	18.09	8.897297342451807	26.18	1693	0.33399999999999996	0.0005	0.014706306457519532
38000	16.49	6.355304870735943	26.18	1756	0.31599999999999995	0.0005	0.01511675794919332
39000	14.41	5.499263587063271	26.18	1827	0.29799999999999993	0.0005	0.015517233146561516
