Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	19.58823529411765	10.622167849690081	-inf	51	0.982	0.0005	2.6182797220018175e-05
2000	21.9010989010989	11.858186716315855	-inf	91	0.964	0.0005	0.00037171648608313665
3000	22.93	11.406362259721545	23.04	133	0.946	0.0005	0.0006266704532835219
4000	23.26	12.230797193969002	23.72	180	0.9279999999999999	0.0005	0.0008847600221633911
5000	21.06	12.840420553860376	23.72	227	0.91	0.0005	0.001146027578247918
6000	21.11	14.421438901857194	23.72	276	0.892	0.0005	0.0014104470279481677
7000	22.81	13.612270200080514	23.72	316	0.874	0.0005	0.0016790388690100775
8000	21.96	11.877642863800881	23.72	368	0.856	0.0005	0.0019515858093897501
9000	18.68	8.246065728576264	23.72	422	0.838	0.0005	0.0022223530875311957
10000	18.64	8.000649973595895	23.72	476	0.82	0.0005	0.0024854713678359986
11000	19.34	9.225204604777065	23.72	527	0.802	0.0005	0.002755091256565518
12000	20.31	10.712324677678511	23.72	574	0.784	0.0005	0.0030230651299158733
13000	19.72	9.58444573253978	23.72	629	0.766	0.0005	0.003297094371583727
14000	18.17	7.3716416082172636	23.72	685	0.748	0.0005	0.0035728940698835586
